lat,lng,elevation
(28.09800800572846, 87.09728537108627),5307.09912109375
(28.08952457519399, 87.0842471858343),5603.923828125
(28.08103991240739, 87.07121106122611),5450.43017578125
(28.07255401800258, 87.05817699650069),5641.48681640625
(28.06406689261328, 87.04514499089692),5609.3720703125
(28.05557853687296, 87.03211504365356),5768.48193359375
(28.0470889514149, 87.01908715400934),5886.712890625
(28.03859813687216, 87.0060613212028),5988.58251953125
(28.03010609387758, 86.99303754447246),5822.74267578125
(28.02161282306379, 86.98001582305668),6083.87548828125
(28.01311832506318, 86.96699615619377),5965.52001953125
(28.00462260050797, 86.95397854312193),6937.71435546875
(27.99612565003013, 86.94096298307925),7538.77783203125
(27.9876274742614, 86.92794947530372),8545.6142578125
(27.97912807383334, 86.91493801903327),7088.90966796875
(27.97062744937729, 86.9019286135057),6702.2138671875
(27.96212560152435, 86.88892125795871),7233.05322265625
(27.95362253090541, 86.87591595162995),5689.37744140625
(27.94511823815116, 86.86291269375691),5296.30517578125
(27.93661272389206, 86.84991148357705),5382.72021484375
(27.92810598875838, 86.83691232032768),5461.81884765625
(27.91959803338013, 86.82391520324609),5277.912109375
(27.91108885838715, 86.81092013156938),4409.115234375
(27.90257846440903, 86.79792710453464),5210.904296875
(27.89406685207515, 86.7849361213788),5979.50927734375
(27.8855540220147, 86.77194718133879),5244.36962890625
(27.87703997485663, 86.75896028365135),4822.9716796875
(27.86852471122968, 86.74597542755319),4415.48291015625
(27.86000823176238, 86.73299261228091),3990.3564453125
(27.85149053708303, 86.72001183707101),4695.81884765625
(27.84297162781975, 86.70703310115991),5011.11083984375
(27.8344515046004, 86.69405640378395),3833.783935546875
(27.82593016805265, 86.68108174417937),3729.700927734375
(27.81740761880395, 86.6681091215823),3832.557373046875
(27.80888385748155, 86.65513853522886),4307.02880859375
(27.80035888471244, 86.64216998435496),5093.1484375
(27.79183270112345, 86.62920346819651),5408.74267578125
(27.78330530734117, 86.61623898598933),4933.8486328125
(27.77477670399197, 86.60327653696912),5029.11572265625
(27.766246891702, 86.59031612037148),5445.009765625
(27.75771587109722, 86.57735773543199),6299.005859375
(27.74918364280337, 86.56440138138608),6043.8125
(27.74065020744594, 86.5514470574691),5409.33154296875
(27.73211556565025, 86.53849476291637),4534.9833984375
(27.7235797180414, 86.52554449696306),4129.79833984375
(27.71504266524423, 86.5125962588443),4278.30419921875
(27.70650440788343, 86.4996500477951),3905.10498046875
(27.69796494658342, 86.4867058630504),3220.97119140625
(27.68942428196845, 86.4737637038451),2740.5009765625
(27.68088241466251, 86.46082356941392),2674.363037109375
(27.67233934528943, 86.44788545899158),2626.898681640625
(27.66379507447279, 86.4349493718127),2906.237548828125
(27.65524960283594, 86.4220153071118),3451.9052734375
(27.64670293100207, 86.40908326412332),2620.125244140625
(27.6381550595941, 86.39615324208165),3208.439453125
(27.62960598923478, 86.38322524022105),3551.59912109375
(27.62105572054661, 86.37029925777573),3178.56298828125
(27.6125042541519, 86.35737529397979),3181.90673828125
(27.60395159067274, 86.34445334806732),3158.73046875
(27.595397730731, 86.33153341927223),2816.126953125
(27.58684267494835, 86.31861550682845),2509.813720703125
(27.57828642394622, 86.30569960996976),2712.33447265625
(27.56972897834586, 86.29278572792991),3001.115966796875
(27.56117033876829, 86.27987385994251),2783.675537109375
(27.5526105058343, 86.26696400524115),2809.74267578125
(27.5440494801645, 86.25405616305933),2903.09814453125
(27.53548726237926, 86.24115033263044),2683.8291015625
(27.52692385309874, 86.22824651318783),2558.275634765625
(27.5183592529429, 86.21534470396477),2726.85009765625
(27.50979346253149, 86.20244490419442),2019.86572265625
(27.50122648248401, 86.18954711310991),1659.286743164062
(27.4926583134198, 86.17665132994426),1939.78759765625
(27.48408895595794, 86.16375755393045),1458.222534179688
(27.47551841071731, 86.15086578430133),1715.926025390625
(27.4669466783166, 86.13797602028973),1341.594970703125
(27.45837375937427, 86.12508826112837),1126.366455078125
(27.44979965450855, 86.11220250604991),782.171875
(27.44122436433749, 86.09931875428697),578.304931640625
(27.4326478894789, 86.086437005072),731.6138916015625
(27.4240702305504, 86.07355725763749),723.1581420898438
(27.41549138816937, 86.0606795112158),964.0186767578125
(27.406911362953, 86.0478037650392),1056.325073242188
(27.39833015551826, 86.03493001833994),914.4863891601562
(27.3897477664819, 86.02205827035016),545.75390625
(27.38116419646047, 86.00918852030195),552.5554809570312
(27.3725794460703, 85.99632076742729),485.5915222167969
(27.36399351592752, 85.98345501095817),741.3536376953125
(27.35540640664802, 85.9705912501264),547.9232788085938
(27.34681811884751, 85.95772948416383),706.42724609375
(27.33822865314146, 85.94486971230216),1020.277526855469
(27.32963801014513, 85.93201193377307),1377.821166992188
(27.32104619047361, 85.91915614780812),1787.431762695312
(27.31245319474171, 85.90630235363888),1533.586669921875
(27.30385902356409, 85.89345055049674),904.5958862304688
(27.29526367755514, 85.88060073761315),628.0411376953125
(27.28666715732911, 85.8677529142194),634.0070190429688
(27.27806946349996, 85.85490707954675),655.5147094726562
(27.2694705966815, 85.84206323282636),808.0482788085938
(27.26087055748729, 85.82922137328939),517.2274780273438
(27.25226934653069, 85.81638150016686),350.874755859375
(27.24366696442486, 85.80354361268978),434.0529174804688
(27.23506341178273, 85.79070771008905),354.9510498046875
(27.22645868921702, 85.77787379159555),376.8930358886719
(27.21785279734025, 85.76504185644004),439.0719604492188
(27.20924573676472, 85.75221190385328),462.3764343261719
(27.20063750810254, 85.73938393306591),442.9199523925781
(27.19202811196556, 85.72655794330852),460.2691040039062
(27.18341754896547, 85.71373393381167),410.3257446289062
(27.17480581971371, 85.70091190380582),353.9705200195312
(27.16619292482155, 85.68809185252138),314.143310546875
(27.15757886489999, 85.6752737791887),323.4236145019531
(27.14896364055988, 85.66245768303804),318.7892150878906
(27.14034725241183, 85.64964356329966),445.49609375
(27.13172970106623, 85.6368314192037),364.1322631835938
(27.12311098713327, 85.62402124998025),347.4534606933594
(27.11449111122294, 85.61121305485938),179.5356292724609
(27.10587007394499, 85.59840683307101),167.2693176269531
(27.09724787590899, 85.5856025838451),157.3806915283203
(27.08862451772429, 85.57280030641151),147.0520935058594
(27.08, 85.56),140.9749603271484
